sku,name,short_name,price,category,station,type,is_active
AGUA-500,Agua 500ml,,250,BEBIDAS,BAR,SIMPLE,true
API-TEST-1769554289952,API Test Product,API Test,1000,POLLOS,PARRILLA,SIMPLE,true
API-TEST-1769554347914,API Test Product,API Test,1000,POLLOS,PARRILLA,SIMPLE,true
ARROZ,Porción de Arroz,,400,GUARNICIONES,COCINA,SIMPLE,true
BACKEND-1769545528581-0,Test Product BACKEND 0,,1000,POLLOS,PARRILLA,SIMPLE,true
BACKEND-1769545528581-1,Test Product BACKEND 1,,1100,POLLOS,PARRILLA,SIMPLE,true
BACKEND-1769545528581-2,Test Product BACKEND 2,,1200,POLLOS,PARRILLA,SIMPLE,true
BACKEND-1769545528581-3,Test Product BACKEND 3,,1300,POLLOS,PARRILLA,SIMPLE,true
BACKEND-1769545528581-4,Test Product BACKEND 4,,1400,POLLOS,PARRILLA,SIMPLE,true
BACKEND-DEL-1769545531084-0,Test Product BACKEND-DEL 0,,1000,POLLOS,PARRILLA,SIMPLE,true
BACKEND-DEL-1769545531084-1,Test Product BACKEND-DEL 1,,1100,POLLOS,PARRILLA,SIMPLE,true
BACKEND-DEL-1769545531084-2,Test Product BACKEND-DEL 2,,1200,POLLOS,PARRILLA,SIMPLE,true
BACKEND-DEL-1769545531084-3,Test Product BACKEND-DEL 3,,1300,POLLOS,PARRILLA,SIMPLE,true
BACKEND-DEL-1769545531084-4,Test Product BACKEND-DEL 4,,1400,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-0,Test Product BATCH 0,,1000,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-1,Test Product BATCH 1,,1100,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-10,Test Product BATCH 10,,2000,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-11,Test Product BATCH 11,,2100,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-12,Test Product BATCH 12,,2200,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-13,Test Product BATCH 13,,2300,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-14,Test Product BATCH 14,,2400,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-15,Test Product BATCH 15,,2500,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-16,Test Product BATCH 16,,2600,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-17,Test Product BATCH 17,,2700,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-18,Test Product BATCH 18,,2800,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-19,Test Product BATCH 19,,2900,POLLOS,PARRILLA,SIMPLE,true
BATCH-1769545532360-2,Test Product BATCH 2,,1200,POLLOS,PARRILLA,SIMPLE,true
